Количество	Запрос
260	за 3 часа экскаватор выбирает из котлована 108 м3
258	две трубы наполняют бассейн за 3 часа 36 минут а одна первая труба
254	за день удалось расчистить от снега 8/9 аэродрома
253	коля пробежал 100 метров за 20 секунд
253	пассажирский поезд за 8 часов прошел 480 км а скорый поезд
253	теплоход проходит за 4 часа такое же расстояние как моторная лодка
250	расстояние от москвы до хабаровска самолет пролетает за 9 часов
249	при совместной работе мастер и его ученик за 2 часа работы могут
247	игорь и паша красят забор за 10 часов. паша и володя красят этот же забор за 12 часов, а володя и игорь – за 15 часов. за сколько минут мальчики покрасят забор, работая втроем?
246	в среднем за день во время конференции расходуется 80 пакетиков чая
244	какой угол в градусах описывает часовая стрелка за 2 минуты
244	путь от дома до магазина мальчик прошел за 12 минут а от магазина
243	автомобиль должен за 7 часов проехать расстояние 630 км
243	какую часть стены маляр красит за 1 час если всю стену
243	фашистские войска в 1941-1942 годах потратили на захват этого города 250 дней, а советские войска в 1944 году освободили его за 5 дней. что это за город?
242	две бригады за час совместной работы могут засеять поле площадью 6 га. работая  отдельно, первая бригада может засеять поле площадью 12 га на 3 часа быстрее, чем  это сделает вторая бригада. за сколько часов, работая отдельно, вторая бригада засеет  поле площадью 5 га?
241	самолет пролетел 1840 км за 2 часа
241	токарь за 1 час обрабатывает 16 заготовок
240	ученик решил 12 уравнений за 40 минут сколько минут
238	одна швея может выполнить работу за 4 часа другая за 5 часов
237	каждый из двух рабочих может выполнить заказ за 15 часов через 5 часов
236	бак можно наполнить водой за 6 минут сколько литров воды
236	три курицы за три дня снесли 3 яйца сколько яиц за 12 дней 12 куриц
234	от города до поселка автомобиль доехал за 3 часа
234	полярник за день прошел по льдам к северному полюсу 15 км
230	в среднем за день во время конференции расходуется 90 пакетиков чая
229	за 9 дней похода туристы израсходовали 36 банок консервов
227	первые 10 садовых домиков бригада строителей построила за 2 недели
226	два слесаря выполнили задание за 12 часов если бы половину задания
226	первый и второй насосы наполняют бассейн за 9 минут
226	по плану токарь должен изготовить 1755 деталей за 27 дней
220	за 3 дня путешественник написал 18 страниц путевых заметок
219	столовая израсходовала за 4 месяца 3672 кг овощей
218	автомашина за 3 дня прошла 980 км за первые 2 дня она прошла 725 км
217	в мастерской сшили 120 спальных мешков за 6 дней краткая запись
217	одна автозаправочная станция может за 1 час
215	велосипедист проехал за час 12 км какое расстояние
215	один кран заполняет бак за 10 минут а другой за 15
212	за день пути совершив два привала туристы преодолели 27.58 км
211	за 6 часов теплоход прошёл 180 км а автомобиль за 4 часа
210	за 32 минуты дежурный по кухне очистил 20 картофелин решение
210	спутник пролетает 84000 км за 3 часа
209	за день на почте отправили 216 писем из них три четверти
208	за 8 дней 8 кур снесли 16 яиц.сколько яиц снесла одна курица за 8 дней
207	две студентки, работая вместе, могут напечатать курсовую работу за 6 дней. если сначала 60% курсовой напечатает катя, а затем завершит работу алиса, то вся работа будет выполнена за 12 дней. за сколько дней может напечатать курсовую катя, печатая одна, если печатает она быстрее, чем алиса?
206	аня купила проездной билет на месяц и сделала за месяц 41 поездку
206	пешеход прошёл 16 км за 4 часа
205	бак можно наполнить водой за 6 минут
205	два тракториста за 1 день совместной работы вспахали 2/3 поля
205	один каменщик уложил за день 2350 кирпичей
204	в пачке 500 листов бумаги формата а4 за неделю расходуется 800 листов
204	инженеры решают меньше чем за 3 минуты архитекторы за 3 часа
203	высота столба 10 м улитка ползет по нему и поднимается за день на 4 м
203	лыжник может пройти расстояние в 20 км за 2 часа велосипедист
202	одна бригада рабочих делает за 12 дней 1512 деталей
202	первая машина проходит за час 38 км а вторая 43 км
202	первый километр дистанции пловец проплыл за 20 минут
201	два тракториста вспахали поле за 4 дня если бы работал один из них
198	автомобиль двигаясь с постоянной скоростью прошел 14 км за 9 минут
198	─ загадка для гения гений находит решение за 10 секунд. билл гейтс - за 20 секунд. выпускник гарварда (harvard university) за 40 секунд. если вы нашли ответ за 2 минуты, то вы принадлежите к 15% наиболее одаренных людей. 75% людей не способны решить эту задачу.
197	моторная лодка плыла по озеру с постоянной скоростью и за 3 часа
196	бегун пробежал 450 м за 50 секунд найдите среднюю скорость
196	какой угол описывает минутная стрелка за 8 минут
196	температура воды увеличилась с 300 к до 350 к за 5 минут
195	в пачке 500 листов бумаги формата а4 за неделю расходуется 600 листов
195	по течению реки катер прошел 150 км за 5 часов
195	рабочий может выполнить заказ за 4 часа а его ученик за 8 часов
194	андрей собирал модель самолета за 6 часов он выполнил
192	автобус проезжает путь от города а до города б за 4 часа
191	две швеи работая вместе выполнят полученный заказ за 6 дней
191	расстояние между двумя городами автобус проходит за 9 часов
190	мастер и ученик сделали партию деталей за 3 часа если бы
189	в помощь садовому насосу перекачивающему 9 литров воды за 2 минуты
189	мотоцикл проехал расстояние 160 км за 4 часа а автомобиль за
189	поезд, двигаясь равномерно со скоростью 54 км/ч, проезжает мимо идущего параллельно путям со скоростью 6 км/ч навстречу ему пешехода за 30 секунд. найдите длину поезда в метрах.
188	велосипедист проехал 23 км за 2 часа какова скорость велосипедиста
188	лыжники шли до места назначения три дня за 7 часов
187	за месяц 30 дней белка съела 3/7 запасенных на зиму орехов
186	расстояние в 240 км товарный поезд прошел за 6 часов
185	две трубы наполняют бассейн за 3 часа 36 минут, а одна первая труба наполняет бассейн за 6 часов. за сколько часов наполняет бассейн одна вторая труба?
185	катер проплывает некоторое расстояние по озеру за 6 часов
185	пассажирский поезд за 4 часа прошел такое же расстояние какое товарный
185	─ загадка для гения  гений находит решение за 10 секунд.  билл гейтс - за 20 секунд.  выпускник гарварда (harvard university) за 40 секунд.  если вы нашли ответ за 2 минуты, то вы принадлежите к 15% наиболее одаренных людей.  75% людей не способны решить эту задачу.
183	два фильтра марки источник очищают 2000 л воды за 5 часов
181	теплоход прошел расстояние между пристанями по течению реки за 4 часа
180	за 3 часа работы с конвейера сошло 48 автомобилей
179	грузовая машина расходует за 1 час работы 15 л горючего на сколько
179	скорость самолета 800 км/ч какое расстояние он пролетит за 15 минут
178	за день до спектакля через кассы театра продано 330 билетов решение
178	токарь за 3 часа выточил на токарном станке 135 деталей
176	одна бригада может выполнить задание за 9 дней а другая за 12 дней
175	дима и руслан выполняют одинаковый тест дима отвечает за час на 22
175	за 12 часов с печатного станка сходит 18000 листов
175	игорь и паша красят забор за 10 часов паша и володя за 15 часов
174	за 20 минут велосипедист проехал 7 км сколько километров он проедет за
174	какую часть стены рабочий оклеивает обоями за 1 час если всю стену
173	эту загадку ученик 1-ого класса решает за 5 минут, старшеклассник за 15 минут, студент за 1 час, профессор никогда не решит. загадка: расшифруйте одтчпшсвдд
172	найди скорость пешехода если он за 4 часа прошел 16 км
171	за 10 дней на фабрике изготовили 20400 м ткани
171	игорь и паша красят забор за 9 часов паша и володя за 12
171	одна бригада маляров за 3 часа покрасила 54
171	токарь за 1 час обрабатывает 16 заготовок а его ученик 12
171	турист шел с постоянной скоростью и за 3 часа прошел 14 км
170	два тракториста вспахали поле за 6 часов совместной работы первый
170	двигаясь с одинаковой скоростью легковая машина прошла 6 км за 5 минут
170	за неделю израсходовали 5 кг картофеля каждый день
170	один ученик может убрать класс за 20 мин а второй за 30 минут
169	автомобиль за 30 минут проехал 28 миль. с какой скоростью (миль/ч) ехал автомобиль?
168	братец кролик за день съедает или 9 морковок или 2 кочана капусты
168	за 20 минут поезд проходит 18 км чему равна скорость поезда
167	за 10 минут улитка проползла 0.53
166	одна бригада может собрать урожай за 8 дней а другая за 6 дней
166	экскаватором можно выкопать за 1 час канаву длиной 20 метров
165	почтальон печкин проехал на велосипеде 36 км за 2 часа
165	рабочий выполнил 3/8 работы за 9 часов
165	три страуса за 3 дня снесли 3 яйца
164	аня купила проездной билет на месяц и сделала за месяц 46 поездок
164	дима и саша выполняют одинаковый тест дима отвечает за час на 12
164	при совместной работе мастер и его ученик за 2 часа работы могут обработать
159	бригада рабочих заасфальтировала дорогу длиной 1 км 500 м за 3 дня
159	на сколько градусов повернется земля вокруг своей оси за 9 часов
158	первую часть пути самолёт пролетел за 40 минут
157	турист прошёл 25 км за 4 часа найдите его скорость
156	первый километр дистанции пловец проплыл за 20 минут а второй километр
156	расстояние от села до города автомашина прошла за 3 часа в первый час
155	напишите программу которая вычисляет среднюю за неделю температуру воздуха
155	поезд прошел 432 км за 9 часов на сколько нужно увеличить
155	самолёт пролетел 1840 км за 2 часа причём за первый час
155	ученик за 8 часов сделал столько же деталей сколько мастер за 5 часов
155	фашистские войска в 1941-1942 году потратили на захват этого города 250 дней, а советские войска освободили его в 1944 году за 5 дней. что это за город?
155	через первую трубу бак наполняется за 10 минут через вторую за 15
154	три землекопа за 2 часа выкопали 3 ямы
153	первая труба наполняет бассейн за 2 часа а вторая втрое быстрее
152	расстояние между двумя городами автомобиль преодолевает за 3 часа
150	одна труба может наполнить бассейн за 12 часов а другая за 8 часов
150	петя и ваня выполняют одинаковый тест петя отвечает за час на 8
149	в среднем за день во время конференции расходуется 70 пакетиков чая
149	поезд прошел мост длиной в 200 м за 1 минуту длина самого поезда 800 м
149	скорый поезд за 6 часов прошел 720 км на сколько нужно увеличить
148	машина прошла первый участок пути за 3 часа
147	принтер печатает одну страницу за 12 секунд
147	эту загадку ученик 1го класса решает за пять минут, старшеклассник – за 15 минут, студент – за час, профессор - не решит никогда. что скрывается за этими буквами?
146	две бригады за час совместной работы могут засеять поле площадью 6 гектар
145	за 1 час опытный рабочий изготавливает на 4 детали больше чем молодой
145	за 2 минуты автомат закрывает 2000 банок
145	наборщица набирает на компьютере 350 знаков за 1 минуту
142	принтер печатает одну страницу за 9 секунд
141	поезд проходит мост длиной 500 м за 1 минуту а мимо семафора
140	расстояние от москвы до твери машина проходит за 2 часа 50 минут
139	игорь и паша красят забор за 18 часов
139	пять землекопов за 5 часов выкапывают 5 м канавы
137	автобус за 8 часов работы расходует 48 литров ответ аватария
137	грузчики за 6 часов выгрузили 112 мешков муки
137	катер двигался против течения за 6 часов
135	первая бригада может выполнить работу за 24 дня а вторая за 16 дней
135	первый землекоп может вскопать грядку за 1 час
135	почтовый поезд прошел расстояние между двумя городами за 8 часов
134	за 3 часа путник прошел 11 целых 14 25
133	за месяц завод изготовил продукции на 644 тыс
133	олег поймал за 5 дней 512 мух
132	какой угол описывает минутная стрелка за 30 минут
131	за 20 минут через утюг проходит электрический заряд 960 кл
131	каждый из двух рабочих может выполнить заказ за 15 часов через 3 часа
131	один мастер может выполнить заказ за 12 часов, а другой — за 6 часов. за сколько часов выполнят заказ оба мастера, работая вместе?
131	поезд прошёл мост длиной в 200 метров за 1 минуту
130	велосипедист проехал 72 км за 4 часа
130	за неделю семья израсходовала 8 кг картофеля
130	рассмотрите рисунок 81 подсчитайте электроэнергию расходуемую за 1 месяц
129	маршрут длиной 30 км туристы прошли за 3 дня
129	первая бригада может выполнить за день 1/12 задания
128	александр может выполнить всю заданную работу за 5 дней а искандер за 3 дня
128	робот собирает один компьютер за 6 часов сколько компьютеров
128	скорость поезда за 20 секунд уменьшилась с 72 до 54 км/ч
127	игорь и паша красят забор за 9 часов паша и володя за 12 часов
127	отец и сын могут вместе покрасить забор за 6 часов
127	скорость всадника в 3 раза больше скорости пешехода за 5 часов
126	автомобиль проехал 17 километров за 15 минут
126	александр может выполнить всю заданную работу за 5 дней а искандер
126	ракета типа а за секунду пролетает на 500 метров больше чем ракета типа в
125	за 3 часа экскаватор выбирает из котлована 108
125	поезд за 15 минут проехал 20 км сколько км проезжал поезд за 1 минуту
125	скорость мотоциклиста 1 км мин какое расстояние он проедет за 5 часов
124	две бригады за час совместной работы могут засеять поле площадью 6 га. работая отдельно, первая бригада может засеять поле площадью 12 га на 3 часа быстрее, чем это сделает вторая бригада. за сколько часов, работая отдельно, вторая бригада засеет поле площадью 5 га?
124	один рабочий выполнит всю работу за 3 часа а другой за 5 часов
124	один рабочий может выполнить работу за 3 часа.второму для выполнения
124	трое маляров могут закончить работу за 5 дней для ускорения работы
123	автобус за 8 часов работы расходует 48 литров топлива ответ аватария
123	две курицы несут 2 яйца за 2 дня.сколько яиц снесут 6 кур за 6 дней
123	за 2 дня вова проехал на велосипеде 108 км
123	за неделю израсходовано 3 кг сахара
123	трава на всём лугу растёт одинаково густо и быстро. известно, что 70 коров съели бы её за 24 дня, 30 коров за 60 дней. за сколько дней съели бы её 20 коров?
122	в столовой за неделю израсходовали 63 кг муки
122	ежемесячная плата за воду по тарифу составляет 70 рублей с одного проживающего в квартире человека. плата по счетчику составляет 15 рублей за 1 м3 воды. семья из трех человек в среднем за месяц потребляет 6 м3 воды. сколько рублей эта семья будет экономить ежегодно, если установит у себя в квартире водяной счетчик?
122	пять землекопов могут вырыть за 5 дней 5 км траншеи
122	самолёт пролетает 3600 км за 4 часа
121	на сколько градусов поворачивается минутная стрелка часов за 9 минут
121	самолёт пролетает 3600 км за 4 часа сколько времени
120	малыш может съесть 600 г варенья за 6 минут а карлсон в 2 раза быстрее
120	сможет ли поезд пройти 300 км за 7 часов
119	первый рабочий за час делает на 6 деталей больше, чем второй рабочий, и заканчивает работу над заказом, состоящим из 432 деталей, на 6 часов раньше, чем второй рабочий выполняет заказ, состоящий из 360 таких же деталей. сколько деталей делает в час первый рабочий?
118	два маляра могут покрасить стены за 12 часов
118	два маляра работая вместе могут покрасить забор за 3 часа
118	за неделю семья израсходовала 8 кг картофеля сколько килограммов
118	первый  рабочий  за  час  делает  на  6  деталей  больше,  чем  второй  рабочий,  и  заканчивает  работу  над  заказом,  состоящим  из 432  деталей,  на 6 часов  раньше, чем  второй рабочий выполняет заказ, состоящий из 360 таких же деталей. сколько деталей  делает в час первый рабочий?
118	сколько метров проезжает автомобиль за 20 секунд если за 3 часа
118	через первую трубу бассейн наполняется за 20 часов а через вторую 30 ч
117	александр может выполнить всю заданную работу за 5 дней
117	один мастер может выполнить заказ за 28 часов а другой за 21 час
117	один насос выкачивает воду из бассейна за 6 часов а другой за 4 часа
117	первый цех выпускает 450 деталей за 3 часа второй цех 560 деталей за 4 часа
117	принтер печатает одну страницу за 12 секунд. сколько страниц можно напечатать на этом принтере за 8 минут?
116	бегемот съедает за 6 дней 1200 кг травы
116	в пачке 250 листов бумаги формата а4 за неделю в офисе расходуется 900
116	одна бригада рабочих может посадить 600 деревьев за 10 дней
116	первый и второй насосы наполняют бассейн за 8 минут
116	через первую трубу бак можно наполнить за 2 ч а через вторую за 3 часа
114	в пачке 250 листов бумаги формата а4 за неделю в офисе расходуется 700
114	в пачке 250 листов бумаги формата а4 за неделю расходуется 1100
114	в пекарне за 3 дня израсходовали 48 мешков муки краткая запись
114	двое рабочих, работая вместе, могут выполнить работу за 12 дней. за сколько дней, работая отдельно, выполнит эту работу первый рабочий, если он за два дня выполняет такую же часть работы, какую второй – за три дня?
114	один токарь может выполнить заказ за 12 часов второй за 15
114	расстояние между пристанями 150 км теплоход прошел за 6 часов
114	туристы взяли напрокат лодку за 3 часа они поднялись
113	бегун пробежал 50 метров за 5 секунд найдите среднюю скорость бегуна
113	двое рабочих могут выполнить всю работу за 1 час 20 минут
113	задача в мастерской сшили 120 спальных мешков за 6 дней
113	турист шёл с постоянной скоростью и за 3 часа прошел 14 км
112	автомобиль проехал 195 км за 3 часа с одинаковой скоростью
112	в универмаге за день продали 52 одинаковых детских пальто и 38
112	велосипедист ехал со скоростью 12 км/ч сколько км он проехал за 3 часа
112	какой угол в градусах описывает минутная стрелка за 30 минут
112	мастер за час делает на 5 единиц продукции больше чем ученик
112	найдите лишнюю фигуру гений находит решение за 10 секунд
112	определите длину математического маятника который за 10 секунд
112	первая труба может заполнить бассейн за 3 часа а вторая за 5
112	туристы прошли за 2 дня 48 км причем в первый день на 10 км меньше
111	вычисли производительность насоса л мин перекачивающего 459 л за 9 минут
111	мастер может выполнить всю работу за 12 дней а его ученик за 30 дней
111	одна бригада может выполнить работу за 6 дней а другая за 12 дней
111	фотопринтер печатает 80 снимков за час
110	бегун пробежал 50 м за 5 секунд найдите среднюю скорость бегуна
110	в помощь садовому насосу перекачивающему 5 литров воды за 2 минуты
110	вычисли среднюю скорость автомобиля проехавшего 132 км за 6 часов
110	за 4 дня совместной работы двух тракторов было вспахано 2/3 поля
110	за 7 часов тракторист вспахал 4.9 га с какой скоростью
110	определите силу тока в электрической лампе если через нее за 5 минут
109	две трубы наполняют бассейн за 3 часа 36 минут, а одна первая труба наполняет бассейн за 6 часов. за сколько часов наполняет бассейн одна вторая труба?
109	одна бригада выполнит работу за 6 дней а другая за 12 за сколько дней
109	принтер печатает одну страницу за 12 секунд. сколько страниц можно напечатать на этом принтере за 8 минут?
109	─ загадка для гения гений находит решение за 10 секунд. билл гейтс - за 20 секунд. выпускник гарварда (harvard university) за 40 секунд. 90% людей не способны решить эту задачу.
108	две трубы наполняют бассейн за 6 часов 18 минут а одна первая труба
108	две трубы наполняют бассейн за 8 часов 45 минут а одна первая труба
